Constellation, Max Distance, Same Constellations Accross Cultures 
CON indian N01,0.026816447564906365, 1
CON korean 262,0.026825701160269125, 1
CON chinese 152,0.027412435901757515, 1
CON tukano 003,0.027525235466071968, 1
CON macedonian 008,0.027710461725282638, 1
CON arabic_ancient 3799,0.027938207544089683, 2
CON arabic_ancient 1299,0.02798239551191369, 1
CON korean 119,0.02799907080684982, 2
CON korean 135,0.028541987767596515, 1
CON chinese 046,0.02857123537356751, 1
CON korean 203,0.028609764996973406, 1
CON korean 020,0.029338350799628172, 2
CON chinese 200,0.029566284933144303, 1
CON macedonian 009,0.02959324544732166, 1
CON chinese 309,0.029616747673638956, 1
CON korean 213,0.02963828937774174, 1
CON arabic_ancient 0420,0.02992911451240852, 1
CON chinese 095,0.030019505273423987, 1
CON chinese 216,0.030248820863543115, 1
CON chinese 037,0.030251046166223806, 1
CON chinese 098,0.030322893222544826, 1
CON boorong War,0.03051600647478543, 1
CON arabic_ancient 3599,0.03055357315548117, 2
CON tukano 004,0.031264343308421934, 1
CON korean 065,0.03139900103744778, 2
CON korean 272,0.03148887863811041, 1
CON chinese 073,0.03157769756606408, 1
CON korean 231,0.031619983464741507, 1
CON arabic_arabian_peninsula 2603,0.031853638743568065, 6
CON western Sge,0.03213932223072471, 2
CON korean 218,0.032161020930323775, 1
CON romanian Sec,0.032183529685362325, 1
CON anutan 004,0.03222458754046816, 1
CON korean 088,0.03238966851738984, 3
CON chinese 249,0.03244285087904264, 1
CON chinese 045,0.03249583253662439, 1
CON korean 209,0.03275561493995122, 1
CON chinese 285,0.03280021626984105, 1
CON chinese 247,0.03294788621829118, 1
CON korean 044,0.03302675171943029, 1
CON arabic_ancient 3003,0.03302675171943029, 3
CON korean 133,0.03335131216266128, 1
CON korean 207,0.033573122004204085, 1
CON korean 043,0.03359538183981642, 1
CON arabic_ancient 3699,0.033798911669932784, 2
CON indian N28,0.0338321636439758, 1
CON korean 052,0.0338321636439758, 3
CON korean 143,0.03390309145586158, 1
CON western_rey Del,0.03403857148624403, 1
CON arabic_al-sufi Del,0.03403857148624403, 1
CON boorong Cwr,0.03407384806626818, 1
CON korean 131,0.03415625569523069, 1
CON chinese 196,0.0343490000555454, 1
CON korean 007,0.03490742938231618, 2
CON korean 194,0.03517536285893818, 1
CON chinese 311,0.03520322787922914, 1
CON korean 059,0.035215368292280495, 1
CON arabic_arabian_peninsula 3199,0.03532746554113783, 3
CON chinese 058,0.03535272600328674, 1
CON arabic_arabian_peninsula 2803,0.03552023149748438, 3
CON indian N02,0.035579177604531304, 2
CON chinese 108,0.03570185730842609, 1
CON romanian Tau,0.03591008991572229, 2
CON sardinian 001,0.03591008991572229, 1
CON belarusian 007,0.03591008991572229, 1
CON western Lyr,0.035979486339708766, 5
CON arabic_al-sufi Lyr,0.035979486339708766, 1
CON western_SnT Lyr,0.035979486339708766, 1
CON inuit 001,0.03613948691792914, 1
CON korean 084,0.036485889064681344, 1
CON arabic_ancient 5899,0.03658064024603798, 1
CON korean 261,0.03662942619951032, 1
CON tukano 007,0.037024433396450784, 3
CON macedonian 017,0.037024433396450784, 1
CON maori 005,0.037024433396450784, 4
CON tupi 007,0.037024433396450784, 1
CON korean 178,0.037064154216993814, 1
CON lokono 007,0.03707718966610841, 1
CON arabic_ancient 2811,0.03714984778381939, 1
CON macedonian 011,0.03749778255966046, 1
CON korean 256,0.03773126108791026, 2
CON lokono 006,0.03779356255501867, 1
CON korean 072,0.03794027074100851, 1
CON korean 034,0.03825899797160859, 1
CON korean 221,0.03845786033860677, 1
CON chinese 298,0.038835486287266914, 1
CON chinese 221,0.039114405149989914, 1
CON arabic_arabian_peninsula 3499,0.0393624647720792, 3
CON korean 082,0.0393624647720792, 1
CON korean 006,0.0395949976919305, 1
CON korean 257,0.039647047536878026, 1
CON korean 067,0.039988856401283336, 1
CON indian N18,0.0399925646487578, 4
CON western_rey Lac,0.03999997782315718, 2
CON korean 228,0.04032527888861011, 1
CON chinese 268,0.04079689654676757, 1
CON chinese 075,0.04087733306486801, 1
CON korean 058,0.04099885419751219, 1
CON japanese_moon_stations 09,0.04099885419751219, 1
CON chinese 016,0.04099885419751219, 1
CON western Equ,0.04105146316810023, 4
CON korean 041,0.04106320126473056, 1
CON korean 199,0.04117503223239474, 1
CON korean 024,0.041188936109558046, 1
CON chinese 066,0.041188936109558046, 1
CON korean 208,0.04145977544568197, 2
CON chinese 295,0.041543424421867384, 1
CON chinese 312,0.04166934961519938, 1
CON ruelle Mus,0.04174955734451543, 1
CON chinese 127,0.04186290740253298, 1
CON chinese 275,0.04192045620833062, 1
