Constellation, Simulated Prolificness, Same Constellations Accross Cultures 
CON western Vel,-3.200128582885417, 2
CON western_rey Hyi,-3.202831519273234, 1
CON lokono 003,-3.2089188732010783, 1
CON maori 005,-3.218919198719501, 4
CON western_hlad Sco,-3.2225730932224526, 1
CON western Aql,-3.2264682963850944, 2
CON arabic_ancient 1001,-3.23, 1
CON anutan 003,-3.24, 1
CON western_rey Aur,-3.2436872054005934, 1
CON western_SnT Aur,-3.2436872054005934, 1
CON chinese 162,-3.25, 1
CON chinese 089,-3.2513174288485795, 1
CON western_rey Tuc,-3.254110745609868, 1
CON western_hlad Hyi,-3.26, 2
CON western_hlad Tuc,-3.2741107456098675, 2
CON ruelle UMa,-3.279561636374723, 1
CON western_rey CrA,-3.2824749317472897, 1
CON chinese 113,-3.2899970160949987, 1
CON korean 153,-3.29, 2
CON romanian Gem,-3.2917149715197778, 1
CON egyptian 012,-3.3004298677859176, 1
CON western_rey Uma,-3.3020396554330955, 1
CON korean 124,-3.303874234026469, 1
CON chinese 280,-3.31, 1
CON western_hlad CrA,-3.3122781941730657, 1
CON arabic_ancient 3002,-3.32, 2
CON sardinian 007,-3.3261236694714422, 1
CON ruelle Peg,-3.327237689884892, 1
CON tukano 007,-3.3276804220169827, 3
CON indian N11,-3.33, 4
CON korean 197,-3.3356873158424696, 2
CON western Lib,-3.3374750166813802, 2
CON korean 235,-3.339425640197852, 1
CON western Crt,-3.3420149936373003, 3
CON western_SnT Crt,-3.3420149936373003, 1
CON western Gem,-3.3421326617468647, 4
CON western_rey Gem,-3.3421326617468647, 1
CON arabic_arabian_peninsula 4206,-3.35, 3
CON arabic_ancient 2001,-3.35, 1
CON ruelle Lup,-3.37, 1
CON egyptian 013,-3.3783037917393717, 1
CON japanese_moon_stations 01,-3.38, 2
CON western Leo,-3.382989872964636, 2
CON western_hlad Leo,-3.385898892435726, 2
CON western_SnT UMa,-3.3942234541482406, 1
CON korean 033,-3.395892818762533, 1
CON western Per,-3.4010156247463343, 3
CON western_rey Dra,-3.4041924730099735, 2
CON boorong Tch,-3.41, 1
CON mandar 002,-3.412266283682928, 1
CON western_SnT Car,-3.4124496196715017, 1
CON western_rey And,-3.415014227969126, 1
CON arabic_ancient 4699,-3.417748988492151, 1
CON arabic_arabian_peninsula 2650,-3.42, 1
CON korean 104,-3.42, 1
CON arabic_ancient 2601,-3.42, 1
CON romanian Vca,-3.4269518548026663, 1
CON western_hlad Phe,-3.432320279980601, 1
CON western_SnT Phe,-3.432320279980601, 1
CON bugis 001,-3.4359472714353583, 1
CON chinese 244,-3.4407551196301998, 1
CON arabic_ancient 4204,-3.4426182498200193, 1
CON arabic_ancient 3003,-3.4471027283429985, 3
CON western_SnT Vir,-3.4485652134771803, 1
CON arabic_ancient 0420,-3.45, 1
CON western_SnT Sco,-3.4519120011839783, 1
CON western Boo,-3.459784940364437, 3
CON western Lyr,-3.4670721817954124, 5
CON western_SnT Peg,-3.4672376898848927, 1
CON western_SnT Cyg,-3.472469262949278, 1
CON korean 247,-3.4748695008532287, 1
CON arabic_arabian_peninsula 2805,-3.48, 3
CON hawaiian_starlines LUP,-3.4848539699843646, 1
CON western Dra,-3.48924487858311, 4
CON korean 042,-3.49, 1
CON korean 225,-3.49, 1
CON western_rey Sgr,-3.4904361533305197, 1
CON ruelle Gem,-3.492029791275007, 1
CON korean 201,-3.4942662513723435, 2
CON arabic_ancient 1501,-3.4986927567881274, 1
CON korean 171,-3.5, 1
CON ruelle Cyg,-3.5076949445590024, 1
CON western_rey Her,-3.5090779313217224, 1
CON arabic_ancient 5499,-3.5170991914700793, 1
CON western_hlad Dra,-3.5192448785831094, 1
CON arabic_arabian_peninsula 2804,-3.52, 3
CON korean 081,-3.52, 2
CON japanese_moon_stations 12,-3.52, 1
CON arabic_ancient 1499,-3.526946203755525, 3
CON korean 163,-3.53, 1
CON korean 017,-3.54, 2
CON korean 188,-3.542833249781597, 1
CON korean 039,-3.56, 1
CON western_hlad Ser,-3.5604740454914507, 1
CON arabic_ancient 0430,-3.57, 1
CON western_rey UMap2,-3.57, 1
CON chinese 107,-3.57, 1
CON mandar 003,-3.5757524711210746, 1
CON boorong Col,-3.58, 1
CON chinese 081,-3.581956376245631, 1
CON western Lep,-3.5867405599828768, 2
CON ruelle Phe,-3.587704194670249, 1
CON korean 270,-3.59, 1
CON korean 099,-3.591717357487771, 1
CON korean 112,-3.5925580502335364, 1
CON arabic_ancient 4799,-3.5925580502335364, 1
CON hawaiian_starlines KAO,-3.6000995151146276, 1
CON western_rey Cas,-3.6053463109697383, 1
CON anutan 005,-3.61, 1
CON western_hlad Gem,-3.614527385711209, 1
CON chinese 165,-3.6265686055643327, 1
CON arabic_ancient 4205,-3.6406783456522254, 1
CON egyptian 002,-3.645016831759819, 1
CON ruelle Ara,-3.645157045263425, 1
CON korean 011,-3.655138934764204, 1
CON korean 020,-3.66, 2
CON ruelle Ind,-3.67, 1
CON boorong Won,-3.678696298074825, 1
CON chinese 263,-3.68582391267287, 1
CON ruelle Tau,-3.6876041283504004, 1
CON western_hlad UMa,-3.68827930637199, 1
CON romanian Ccp,-3.6897203031684613, 1
CON korean 101,-3.69, 1
CON korean 132,-3.69, 1
CON korean 226,-3.69, 2
CON arabic_ancient 3599,-3.69, 2
CON romanian C3i,-3.69, 1
CON chinese 077,-3.69, 1
CON sardinian 001,-3.70921242763844, 1
#CON indian N22,-3.71, 7
CON western_hlad Aql,-3.71, 1
CON mandar 005,-3.71, 1
CON chinese 097,-3.713579738683128, 1
CON boorong Mar,-3.7160317852073828, 1
CON korean 187,-3.717367460621464, 1
CON anutan 004,-3.7186307916299377, 1
CON western_rey Cep,-3.7196174711777115, 1
CON arabic_al-sufi Cep,-3.724119577560658, 1
CON blackfoot 003,-3.7260552655938497, 1
CON western_hlad Her,-3.7260552655938497, 1
CON romanian Bar,-3.7296377667344776, 1
CON arabic_ancient 3004,-3.730142213260714, 1
CON western_hlad Mus,-3.731639432313284, 1
CON western_rey Mus,-3.731639432313284, 1
CON western_SnT Lup,-3.7356735903599967, 1
CON western_SnT Aqr,-3.7401800314842397, 1
CON western Hyi,-3.7405027605321646, 2
CON western_hlad Lac,-3.745240373052824, 1
CON belarusian 007,-3.7489191987195007, 1
CON korean 256,-3.75, 2
CON western_rey Opha1,-3.75, 1
CON korean 154,-3.76, 2
CON arabic_ancient 4499,-3.76, 1
CON ruelle Dor,-3.76, 1
CON macedonian 003,-3.77, 1
CON macedonian 017,-3.77, 1
CON korean 181,-3.77, 1
CON aztec 003,-3.772029791275007, 1
CON western Oph,-3.7720305822171696, 2
CON western Pav,-3.7796714213110025, 3
CON ruelle Lib,-3.779924203811139, 1
CON arabic_ancient 0501,-3.78, 1
CON western_SnT Oph,-3.784648578893839, 1
CON western Del,-3.7849338724579793, 4
CON arabic_ancient 0410,-3.79, 2
CON western_rey SerCd,-3.7903933920718598, 1
CON arabic_al-sufi Can,-3.799865759905651, 1
CON western_rey For,-3.8, 1
CON ruelle Ori,-3.8046837334044876, 1
CON chinese 001,-3.813776405410622, 1
CON western And,-3.8149449942832168, 3
CON ruelle And,-3.8149449942832168, 1
CON western_SnT Tau,-3.8188355727622914, 1
CON korean 062,-3.8234368676968575, 1
CON western_rey Lep,-3.8259958117752713, 2
CON ruelle Pav,-3.8260854331485765, 1
CON japanese_moon_stations 24,-3.8274564472721258, 1
CON chinese 087,-3.8275131392224013, 1
CON western_rey Cnc,-3.82913891799219, 1
CON chinese 024,-3.830850792140237, 1
CON western Mus,-3.84, 2
CON arabic_ancient 0899,-3.84, 1
CON arabic_ancient 2002,-3.84, 1
CON ruelle Mus,-3.84, 1
CON ruelle Ret,-3.84, 1
CON chinese 183,-3.84, 1
CON western_hlad Lep,-3.8412799617569373, 1
CON korean 063,-3.841564167946827, 2
CON korean 148,-3.85, 1
CON ruelle Col,-3.85, 1
CON western_rey DraT,-3.85, 1
CON western_rey Hor,-3.85, 1
CON arabic_ancient 1502,-3.850942353734586, 1
CON western_rey Aql,-3.855789335186244, 1
CON western Cyg,-3.8566127307655256, 3
CON romanian Pma,-3.8566127307655256, 1
CON maori 004,-3.8578043416464878, 1
CON romanian Arc,-3.8591546471631224, 1
CON indian N24,-3.86, 1
CON korean 155,-3.86, 1
CON chinese 298,-3.86, 1
CON western_hlad PsA,-3.8684666721373477, 1
CON korean 028,-3.87, 3
CON romanian Tdz,-3.87121240833073, 1
CON western_hlad Oph,-3.871704820693739, 1
CON western_SnT Ori,-3.877222838978951, 1
CON arabic_ancient 1101,-3.8779177929645763, 1
CON korean 077,-3.878319013673264, 1
CON indian N01,-3.88, 1
CON korean 109,-3.88, 4
CON western Ari,-3.88, 4
CON chinese 168,-3.88, 1
CON chinese 032,-3.8820573197917323, 1
CON korean 141,-3.8836219920811015, 1
CON western Phe,-3.8843809239635076, 2
CON western_rey Lup,-3.887397813228562, 1
CON korean 269,-3.89, 1
CON sardinian 009,-3.89, 1
CON western_rey Car,-3.9005904463680428, 1
CON ruelle CMa,-3.9019895530708504, 1
CON western_SnT Cha,-3.9033399901907355, 1
CON lokono 011,-3.9060552655938494, 1
CON romanian Cat,-3.91, 1
CON arabic_al-sufi 05Boo04,-3.91, 1
CON western_rey Tau,-3.911659517747146, 1
CON western_SnT Cep,-3.913935993263319, 1
CON ruelle Per,-3.9158011333791785, 1
CON korean 249,-3.916055265593849, 1
CON western_SnT Vol,-3.9168084555720606, 1
CON western_rey Col,-3.9172999126132755, 1
