Constellation, Average Continuation, Same Constellations Accross Cultures 
CON arabic_al-sufi CrA,0.5396176531324339, 1
CON western_rey Her,0.5421330424271409, 1
CON chinese 142,0.5441129628516919, 1
CON chinese 275,0.5448847792405511, 1
CON ruelle Cep,0.5457474889012376, 1
CON western Per,0.5462655184950801, 3
CON arabic_arabian_peninsula 2999,0.546809461691541, 3
CON western_rey Cen,0.5482422182692277, 1
CON navajo 006,0.5483288804391673, 1
CON western_rey Psc,0.552402845905942, 1
CON korean 178,0.5527275878754986, 1
CON korean 145,0.5527905734702081, 1
CON ruelle UMa,0.5553131822180934, 1
CON japanese_moon_stations 24,0.5577517825600367, 1
CON western_SnT And,0.5580059093479632, 1
CON romanian Vir,0.5596728669820281, 1
CON western_rey Lup,0.5604442640881813, 1
CON western_hlad Tuc,0.5618934970365994, 2
CON sardinian 002,0.5651938461502214, 1
CON chinese 278,0.5660110983400507, 1
CON western_hlad Tel,0.5664540020727236, 1
CON western_hlad Ser,0.5664894561167142, 1
CON lokono 011,0.5669260373755899, 1
CON western PsA,0.5671557153004365, 2
CON arabic_ancient 1399,0.5695088554567281, 1
CON chinese 265,0.570496819420295, 1
CON arabic_al-sufi Per,0.5719976920469202, 1
CON arabic_ancient 5399,0.5731360582839076, 1
CON egyptian 005,0.5743456183129352, 1
CON western_hlad Aqr,0.5760074947373731, 1
CON boorong Ydk,0.5774400490285511, 1
CON arabic_ancient 1999,0.5774803928541921, 2
CON hawaiian_starlines MAN,0.5776662728244119, 1
CON chinese 125,0.5788277204235647, 1
CON arabic_al-sufi Ari,0.579171008144584, 1
CON chinese 030,0.5794288926904083, 1
CON arabic_ancient 2703,0.5833326025586468, 1
CON arabic_ancient 2799,0.5833326025586468, 1
CON ruelle CMa,0.5840523229092093, 1
CON ruelle Cen,0.586482409599678, 1
CON western_rey Eri,0.5869146331763869, 1
CON boorong War,0.5872853204614629, 1
CON chinese 024,0.5883511120895967, 1
CON tukano 002,0.5886088788655232, 1
CON chinese 081,0.5916933416613581, 1
CON romanian Sco,0.5925747506746356, 1
CON arabic_al-sufi Aur,0.5930427490157445, 1
CON tukano 003,0.6014129984986266, 1
CON western_rey Cyg,0.6025664456184855, 1
CON western_rey Cep,0.6039213851428707, 1
CON arabic_al-sufi Dra,0.6055978661180879, 1
CON chinese 043,0.6058147420321739, 1
CON western_rey Car,0.6061692542955786, 1
CON western_rey Lyr,0.6089146335948045, 1
CON western_rey PsA,0.6114849302797489, 2
CON arabic_al-sufi Sco,0.6140946095180322, 1
CON bugis 006,0.6146723135417004, 1
CON boorong Lnk,0.6178379883663001, 1
CON western Aql,0.6190773859308942, 2
CON western_SnT Psc,0.619330646856819, 1
CON western_rey Hyi,0.6193396840524241, 1
CON sardinian 007,0.6203978841748645, 1
CON western Eri,0.620410722408812, 2
CON western_SnT Cha,0.6215486638781805, 1
CON korean 090,0.6220205001936628, 1
CON korean 057,0.6230251519155496, 1
CON western_hlad Mic,0.6240007985734474, 1
CON western_SnT Sco,0.627954002622197, 1
CON romanian Pma,0.6288247674495328, 1
CON western Psc,0.6307918317460831, 1
CON sardinian 004,0.6339178086588111, 2
CON arabic_al-sufi Cen,0.6351296041146587, 1
CON arabic_al-sufi Cap,0.6356977064994509, 1
CON western_SnT Pup,0.6378213132598637, 1
CON chinese 232,0.6384511159385754, 1
CON western_hlad Hya,0.6388265123966188, 1
CON western_rey Cha,0.6423723623487925, 1
CON western_hlad Equ,0.6424252917862715, 1
CON arabic_ancient 4999,0.6430572101509888, 1
CON tupi 002,0.6434657831774786, 1
CON western Vir,0.6454470349533736, 2
CON chinese 094,0.6455038890624483, 1
CON western_rey Aqr,0.6472155610604118, 1
CON western_rey Uma,0.6481065306074281, 1
CON ruelle Boo,0.6517755660775466, 1
CON chinese_contemporary Psc,0.6527050347028099, 1
CON korean 062,0.6534113355340748, 1
CON boorong Tot,0.6566822734479122, 1
CON western_hlad Lup,0.6586349183287141, 1
CON ruelle Aqr,0.6595459340423782, 1
CON boorong Pur,0.6627000953132381, 1
CON arabic_ancient 1899,0.6647972782494803, 1
CON western_rey Vel,0.6672310615684343, 1
CON anutan 011,0.6695066278473483, 1
CON arabic_al-sufi Her,0.6705924393126844, 1
CON tupi 003,0.6711083658005066, 1
CON korean 022,0.6732420690779226, 1
CON korean 249,0.6736315650547364, 1
CON romanian Sar,0.6738249122516706, 1
CON japanese_moon_stations 21,0.6742545647913959, 1
CON chinese 046,0.6751421318452975, 1
CON arabic_al-sufi Hya,0.6777286052082852, 1
CON western_rey Oph,0.677773363630062, 1
CON western_rey Ari,0.6782510095891972, 1
CON western_rey Cet,0.6807533099582054, 1
CON chinese 029,0.6823173131031111, 1
CON chinese 089,0.6832406875467599, 1
CON western_SnT Hya,0.6837867443892052, 1
CON western Boo,0.684975544565044, 3
CON chinese 075,0.6861997765524354, 1
CON western_rey Tuc,0.6867065043442135, 1
CON korean 103,0.6873034209360142, 1
CON western_rey Sco,0.6931281823692411, 1
CON korean 058,0.6951567951483076, 1
CON western_hlad Cet,0.6969595792230808, 1
CON korean 063,0.6992522057171735, 2
CON boorong Cwr,0.7020641097868495, 1
CON japanese_moon_stations 08,0.702214003111429, 1
CON western_rey Pup,0.7048889634445706, 1
CON western_hlad Peg,0.708371617350788, 1
CON korean 144,0.7087473149488995, 1
CON western Lac,0.7090290895318664, 2
CON arabic_al-sufi Sgr,0.709359408933861, 1
CON arabic_al-sufi Peg,0.7096684670637154, 1
CON western Cyg,0.7100955228283228, 3
CON chinese 136,0.7131194239813873, 1
CON korean 086,0.7131194239813874, 1
CON ruelle Vir,0.7150662022894907, 1
CON macedonian 005,0.7196111779739872, 1
CON western_SnT Cap,0.7197240491671226, 1
CON western Ara,0.720225013708099, 2
CON arabic_al-sufi Lyr,0.721762214355607, 1
CON western_SnT Boo,0.7234557950437436, 1
CON korean 238,0.726928150601491, 1
CON chinese 254,0.7300157979934702, 1
CON western_rey CMa,0.7300314338530992, 1
CON western_hlad Leo,0.7323084428418507, 2
CON western_rey Hya,0.73283957419436, 1
CON western Hya,0.7343391499202807, 2
CON korean 043,0.739841382763161, 1
CON sami 001,0.7412008270843751, 1
CON egyptian 007,0.7438706834578791, 1
CON western_hlad Lib,0.7477152712198767, 1
CON western_hlad Eri,0.7478330440894299, 1
CON chinese 167,0.7496617404164467, 1
CON tukano 008,0.7504404516466886, 1
CON romanian Bar,0.7507604916204161, 1
CON boorong Mar,0.7508984163324033, 1
CON arabic_al-sufi Oph,0.753177677559429, 1
CON arabic_arabian_peninsula 2808,0.7547054568743706, 3
CON boorong Otc,0.7565449946358846, 1
CON arabic_al-sufi Lup,0.7569292932678977, 1
CON western Cep,0.7586411984990278, 2
CON ruelle Lyn,0.7624774772193444, 1
CON western_rey Cnc,0.762605671095104, 1
CON arabic_ancient 5499,0.7689562570218933, 1
CON chinese_contemporary CMa,0.769438505896277, 1
CON mandar 002,0.7719443494280914, 1
CON egyptian 017,0.7756997716967986, 1
CON chinese 242,0.7793192189486668, 1
CON chinese 031,0.7810837467970715, 1
CON arabic_al-sufi Lep,0.7816201112048983, 1
CON romanian Cma,0.7819754100256348, 1
CON western_hlad Cep,0.7854953708987564, 1
CON western_hlad Boo,0.7867849819286383, 1
CON western_rey Aql,0.7879753234350638, 1
CON chinese 057,0.7905793826214645, 1
CON arabic_al-sufi Psc,0.7909343906202094, 1
CON arabic_al-sufi Aqr,0.7914662499054074, 1
CON aztec 003,0.7924282488966911, 1
CON western_rey Mon,0.7937910688679937, 1
CON western_SnT Aql,0.7960270519898167, 1
CON chinese 209,0.8021368910326843, 1
CON western_hlad Cyg,0.8070508378715118, 1
CON northern_andes 005,0.809339629136554, 1
CON western_SnT Cam,0.8122494043564821, 1
CON navajo 005,0.81267448915882, 3
CON chinese 215,0.8130225378573169, 1
CON northern_andes 002,0.8144845167324113, 1
CON chinese 015,0.8168864714160169, 1
CON chinese 206,0.8206245559831946, 1
CON western Oph,0.8222679025378438, 2
CON western Vel,0.8274272925718507, 2
CON korean 038,0.8326288001277289, 2
CON western Phe,0.8331713079618854, 2
CON korean 111,0.833632349984748, 1
CON korean 091,0.8340144290924159, 1
CON western CMa,0.8367429072196493, 1
CON ruelle Dra,0.838458737831804, 1
CON indian N19,0.8385749022392167, 1
CON western_rey Dor,0.8416037874716202, 2
CON romanian Var,0.8446380941594533, 1
CON ruelle Hya,0.8468383920814799, 1
CON western Lup,0.8471733694281689, 2
CON maori 004,0.8480132238378687, 1
CON tongan 007,0.8502668831169535, 1
CON western_rey Cam,0.8534548797886268, 1
CON arabic_al-sufi Boo,0.8705856548247343, 1
CON western Aqr,0.8708397079184622, 2
CON korean 167,0.8740959867947771, 1
CON korean 186,0.8754357624942013, 1
CON western_rey Crv,0.8772878605304606, 1
CON western_rey Boo,0.8780448293745964, 1
CON chinese 287,0.8794979962872712, 1
CON chinese 080,0.8799268109927193, 1
CON chinese 050,0.8839503095472636, 1
CON korean 141,0.8866402977916907, 1
CON western Lib,0.8914682943656125, 2
CON western_SnT Lup,0.8999663439684561, 1
CON arabic_al-sufi CMa,0.9005846926636901, 1
CON western Lyr,0.9041190415314613, 5
CON western_hlad Oct,0.9100376950032227, 1
CON boorong Nln,0.912691955244879, 1
CON western_SnT Cep,0.9165617168139168, 1
CON arabic_al-sufi UMa,0.9170919522264246, 1
CON western Ser,0.9198687268174142, 2
CON chinese 001,0.9249312575408243, 1
CON western_SnT CMa,0.929929004800193, 1
CON western Cap,0.9322819345989067, 3
CON korean 259,0.9355241820610912, 1
CON western_hlad Car,0.9361826241457448, 1
CON chinese 315,0.9377792731587341, 1
CON romanian Cap,0.9391356507108768, 1
CON chinese 263,0.9413807032753173, 1
CON arabic_al-sufi Eri,0.9437736920169375, 1
CON chinese 286,0.9481228204251856, 1
CON western Car,0.9536175727758902, 2
CON sardinian 001,0.9551889243744384, 1
CON western Gru,0.9596306544923238, 3
CON chinese 012,0.9614992483946664, 1
CON mandar 003,0.9621373858726466, 1
CON arabic_al-sufi Aql,0.9680661193046909, 1
CON korean 129,0.9682658632407546, 1
CON chinese 236,0.9683576545968535, 1
CON chinese 221,0.9687072786953882, 1
CON western Pup,0.9694577204760327, 2
CON arabic_al-sufi Crv,0.9729780298338263, 1
CON korean 064,0.9751808292615611, 1
CON romanian Tdz,0.9794793181050284, 1
CON western_SnT Ser,0.9813730304981185, 1
CON western_hlad Pyx,0.9819327435962443, 1
CON western_rey LMi,0.9819525651546426, 2
CON western_SnT Mon,0.9853060245021265, 1
CON chinese 130,0.9853293619133869, 1
CON tupi 006,0.9922118836349917, 1
CON chinese 091,0.9961523497339323, 1
CON tupi 007,1.0006417635116294, 1
CON japanese_moon_stations 15,1.000990198584052, 1
CON arabic_ancient 4699,1.0015827250385232, 1
CON korean 261,1.011752422707047, 1
CON arabic_al-sufi Cet,1.0177192263775083, 1
