Constellation, Max Magnitude, Same Constellations Accross Cultures 
CON korean 093,4.18, 1
CON chinese 279,4.18, 1
CON korean 088,4.2, 3
CON ruelle Her,4.2, 1
CON chinese 218,4.2, 1
CON ruelle Pav,4.21, 1
CON western Per,4.22, 3
CON ruelle Lyr,4.22, 1
CON ruelle Sct,4.22, 1
CON western_rey DraF,4.22, 1
CON western_rey Ophf2,4.22, 1
CON romanian Bar,4.22, 1
CON chinese 108,4.22, 1
CON chinese 310,4.22, 1
CON western Aps,4.23, 2
CON western_SnT Cep,4.23, 1
CON western Cha,4.24, 2
CON western CVn,4.24, 5
CON korean 115,4.25, 2
CON western_rey Cep,4.25, 1
CON korean 102,4.26, 2
CON ruelle Cer,4.26, 1
CON korean 126,4.27, 1
CON chinese 251,4.27, 1
CON korean 079,4.28, 1
CON western Cap,4.28, 3
CON arabic_ancient 2702,4.28, 1
CON western_rey Ant,4.28, 1
CON chinese 126,4.28, 1
CON western_SnT Peg,4.28, 1
CON western_SnT Tau,4.29, 1
CON macedonian 002,4.3, 1
CON korean 192,4.3, 3
CON korean 267,4.3, 2
CON western Tau,4.3, 2
CON japanese_moon_stations 18,4.3, 1
CON western_rey Tau,4.3, 1
CON western_rey Scl,4.3, 1
CON sardinian 001,4.3, 1
CON belarusian 007,4.3, 1
CON egyptian 012,4.3, 1
CON egyptian 015,4.3, 1
CON korean 026,4.31, 2
CON western Oct,4.31, 4
CON korean 202,4.32, 2
CON chinese 167,4.32, 1
CON korean 165,4.33, 1
CON korean 265,4.34, 1
CON western Lyr,4.34, 5
CON western_hlad Dor,4.34, 1
CON ruelle Cas,4.34, 1
CON ruelle Lac,4.34, 1
CON western_rey Chae,4.34, 1
CON romanian Tdz,4.34, 1
CON chinese 312,4.34, 1
CON western Com,4.35, 5
CON western Vol,4.35, 2
CON arabic_ancient 2299,4.35, 1
CON western_hlad Pav,4.35, 1
CON ruelle Ari,4.35, 1
CON romanian Sco,4.35, 1
CON western_SnT Com,4.35, 1
CON western_SnT Vol,4.35, 1
CON korean 125,4.36, 2
CON western Tuc,4.36, 2
CON arabic_ancient 2005,4.36, 1
CON western_hlad Lep,4.36, 1
CON western_hlad Col,4.36, 2
CON ruelle CMa,4.36, 1
CON western_rey CMa,4.36, 1
CON chinese 095,4.36, 1
CON chinese 192,4.36, 1
CON boorong Wpl,4.36, 1
CON western_SnT Aql,4.36, 1
CON western_SnT CMa,4.36, 1
CON western Col,4.37, 2
CON western_rey Col,4.37, 1
CON chinese 045,4.37, 1
CON korean 004,4.38, 1
CON korean 234,4.38, 1
CON western_hlad Vir,4.38, 1
CON western_rey Vir,4.38, 1
CON egyptian 002,4.38, 1
CON western_SnT Vir,4.38, 1
CON indian N05,4.39, 1
CON korean 166,4.39, 1
CON korean 172,4.39, 2
CON western Ind,4.39, 2
CON western Phe,4.39, 2
CON western_hlad Sge,4.39, 3
