Constellation, Average Magnitude, Same Constellations Accross Cultures 
CON western Aql,3.122222222222222, 2
CON romanian Cat,3.13, 1
CON tukano 007,3.1319999999999997, 3
CON boorong Krk,3.1371428571428575, 1
CON western_hlad UMa,3.139473684210526, 1
CON western Per,3.151818181818182, 3
CON western Cep,3.156, 2
CON chinese 097,3.174444444444445, 1
CON arabic_ancient 2002,3.1766666666666663, 1
CON korean 154,3.185, 2
CON arabic_ancient 4499,3.185, 1
CON arabic_ancient 5099,3.1850000000000005, 1
CON korean 035,3.19, 2
CON western_SnT Lup,3.1933333333333334, 1
CON western Pup,3.204285714285714, 2
CON egyptian 005,3.206153846153846, 1
CON ruelle Col,3.2066666666666666, 1
CON arabic_ancient 2601,3.21, 1
CON anutan 006,3.21, 1
CON western_SnT Peg,3.2107692307692313, 1
CON chinese 232,3.213333333333333, 1
CON ruelle Ari,3.2199999999999998, 1
CON egyptian 012,3.221, 1
CON western_hlad Lib,3.224, 1
CON western_SnT Leo,3.2307692307692304, 1
CON boorong Mar,3.232, 1
CON western_SnT Tau,3.2325000000000004, 1
CON korean 153,3.24, 2
CON western Ori,3.2415789473684207, 2
CON arabic_arabian_peninsula 2804,3.245, 3
CON western_SnT Ori,3.2513636363636356, 1
CON korean 192,3.2516666666666665, 3
CON arabic_ancient 4299,3.2524, 2
CON ruelle Lep,3.252857142857143, 1
CON belarusian 007,3.2533333333333334, 1
CON western Tau,3.254166666666666, 2
CON korean 256,3.255, 2
CON arabic_ancient 0420,3.255, 1
CON chinese 298,3.255, 1
CON western_SnT Hyi,3.255, 1
CON western_hlad Peg,3.2558333333333334, 1
CON western_hlad Vir,3.2577777777777777, 1
CON indian N01,3.26, 1
CON western_SnT Gru,3.262857142857143, 1
CON egyptian 002,3.2655555555555558, 1
CON arabic_ancient 5499,3.2679999999999993, 1
CON arabic_ancient 3599,3.27, 2
CON ruelle Per,3.273636363636364, 1
CON korean 039,3.2800000000000002, 1
CON arabic_al-sufi CMa,3.289444444444445, 1
CON arabic_arabian_peninsula 2808,3.2920000000000003, 3
CON korean 167,3.295, 1
CON ruelle Mus,3.295, 1
CON western_rey Lib,3.296666666666667, 2
CON western_SnT Boo,3.2975, 1
CON western Gem,3.2976470588235296, 4
CON western Mus,3.3, 2
CON arabic_ancient 4699,3.3, 1
CON korean 132,3.3000000000000003, 1
CON western Ara,3.3042857142857143, 2
CON navajo 008,3.307777777777778, 1
CON chinese 280,3.31, 1
CON ruelle Cep,3.311666666666667, 1
CON western_rey Sgr,3.313333333333334, 1
CON western_rey UMap2,3.315, 1
CON western_SnT Aql,3.316363636363636, 1
CON ruelle Tau,3.3214285714285707, 1
CON western_rey Aql,3.324545454545455, 1
CON sardinian 001,3.3266666666666667, 1
CON korean 022,3.328181818181818, 1
CON western Lib,3.3299999999999996, 2
CON western_rey Cen,3.3303448275862073, 1
CON western_SnT Lyr,3.338333333333333, 1
CON arabic_ancient 0430,3.3449999999999998, 1
CON western_rey Gem,3.3455555555555563, 1
CON chinese 183,3.3499999999999996, 1
CON romanian Arc,3.352727272727273, 1
CON western_rey Leo,3.36125, 1
CON aztec 001,3.361666666666667, 1
CON western_hlad Ara,3.3628571428571425, 1
CON western Peg,3.3742857142857146, 2
CON chinese 263,3.378, 1
CON ruelle Phe,3.3880000000000003, 1
CON western_hlad Lup,3.3890909090909087, 1
CON ruelle Ind,3.3899999999999997, 1
CON romanian Bar,3.3949999999999996, 1
CON arabic_al-sufi Cen,3.3973684210526316, 1
CON western_SnT Ara,3.3987499999999997, 1
CON anutan 001,3.4, 1
CON western_rey DraH,3.4050000000000002, 1
