Constellation, Average Equal Spacing, Same Constellations Accross Cultures 
CON northern_andes 005,0.07669246069997178, 1
CON mongolian 004,0.07669576223749824, 1
CON chinese 208,0.07674502531790668, 1
CON navajo 003,0.0767991244977874, 1
CON korean 034,0.0768348409777497, 1
CON romanian Prb,0.0768796311885021, 1
CON chinese 255,0.0769159851848002, 1
CON arabic_ancient 0799,0.07717711403580396, 2
CON tukano 006,0.07722202059550032, 1
CON western_hlad Cen,0.077277937899255, 1
CON boorong Otc,0.07738858577311744, 1
CON chinese 266,0.07754285140770283, 1
CON arabic_al-sufi Leo,0.07757012337705667, 1
CON western_rey DraH,0.07759862501410733, 1
CON chinese 153,0.0778365656531203, 1
CON korean 080,0.07806078672545808, 2
#CON western UMi,0.07807205148001743, 9
CON arabic_al-sufi UMi,0.07807205148001743, 1
CON korean 105,0.07817042093306942, 1
CON korean 054,0.07836337417177741, 1
CON boorong Unu,0.07877783394796713, 1
CON western_SnT Pav,0.07904310252521717, 1
CON western_SnT Gru,0.07945445016921918, 1
CON western Sgr,0.07951628738244583, 2
CON western_rey Ari,0.07965094951766868, 1
CON anutan 007,0.07978010275152389, 1
CON western_SnT Ara,0.07995090188726703, 1
CON chinese 053,0.07997167481120324, 1
CON korean 097,0.07998355576013828, 2
CON arabic_al-sufi Lib,0.0800345998143827, 1
CON ruelle Psc,0.0806357708464713, 1
CON romanian Vir,0.08073414042000884, 1
CON ruelle Peg,0.08082026629701286, 1
CON western_rey Leo,0.08088932394921794, 1
CON korean 140,0.08121368605858964, 1
CON romanian Sec,0.08121496826603637, 1
CON western Her,0.08155459196348487, 1
CON western_hlad Sex,0.0818023839973358, 1
CON romanian Bar,0.08211908800273333, 1
CON korean 046,0.08270643916234817, 2
CON western_hlad Vel,0.08277881694884562, 2
CON arabic_al-sufi Aur,0.08280386089886499, 1
CON chinese 278,0.0829178626354207, 1
CON arabic_ancient 2004,0.0829343703148254, 1
CON ruelle Per,0.08314330865922939, 1
CON western_hlad Peg,0.0832722705459612, 1
CON western_hlad Cyg,0.0833040544212882, 1
CON korean 037,0.08332016544429734, 1
CON ruelle Phe,0.0833817551755004, 1
CON romanian Ccp,0.08340696468525649, 1
#CON indian N13,0.08351133034649223, 2
CON hawaiian_starlines MEE,0.08351133034649223, 4
