Constellation, Min Colinearity, Same Constellations Accross Cultures 
CON korean 077,2.981993534953999, 1
CON western_rey Cha,2.9812406460590606, 1
CON western_SnT Cha,2.9812406460590606, 1
CON western LMi,2.981020711273036, 2
CON boorong Wjl,2.978743613697826, 1
CON korean 272,2.97849672059011, 1
CON western_SnT Aqr,2.973769114379233, 1
CON arabic_al-sufi Aur,2.973587709108835, 1
CON western_hlad Lup,2.9641331388295105, 1
CON western Vol,2.964055439692867, 2
CON western_rey Vol,2.964055439692867, 1
CON western_SnT Vol,2.964055439692867, 1
CON arabic_arabian_peninsula 2808,2.9636877999021194, 3
CON western_rey Vir,2.9636877999021194, 1
CON romanian Vir,2.9636877999021194, 1
CON western_SnT Vir,2.9636877999021194, 1
CON western_rey Sgr,2.9633835541221365, 1
CON arabic_al-sufi SFB,2.9614482117757763, 1
CON chinese 275,2.9606141156825236, 1
CON tukano 004,2.9600470459049095, 1
CON ruelle Ser,2.957836011545852, 1
CON western_hlad Cha,2.9575813727113442, 1
CON western_rey Lib,2.956676532404948, 2
CON arabic_al-sufi Lyr,2.9546892578484565, 1
CON western_rey Ser,2.9531155034423726, 1
CON western_rey SerCp,2.9531155034423726, 1
CON western_hlad Gem,2.9470466498790517, 1
CON chinese 181,2.9468922608703725, 1
CON ruelle Psc,2.945728113931394, 1
CON western_hlad Vol,2.945655069412593, 1
CON korean 146,2.945261154825123, 1
CON chinese 102,2.944702487042988, 1
CON macedonian 018,2.9444090768760915, 3
CON western_hlad Cyg,2.9444090768760915, 1
CON chinese 050,2.944371457353757, 1
CON western_hlad Cnc,2.940217618332002, 1
CON japanese_moon_stations 27,2.940194929441319, 1
CON chinese 316,2.939582967466524, 1
CON western Cnc,2.939228940979455, 2
CON western_rey Cnc,2.939228940979455, 1
CON romanian Rac,2.939228940979455, 2
CON arabic_al-sufi Can,2.939228940979455, 1
CON western Lup,2.938279730182271, 2
CON arabic_arabian_peninsula 3099,2.9376186492284013, 3
CON western_SnT Sgr,2.9376186492284013, 1
CON western Phe,2.937557434171109, 2
CON chinese 231,2.9351246695303335, 1
CON chinese 012,2.9302625873556325, 1
CON arabic_al-sufi Aql,2.9283855751467827, 1
CON boorong Cwr,2.927859516377155, 1
CON hawaiian_starlines NAV,2.9259862616091543, 1
CON korean 062,2.9259862616091543, 1
CON arabic_ancient 1899,2.9259862616091543, 1
CON chinese 232,2.9259862616091543, 1
CON western_SnT Lyr,2.9257831661171116, 1
CON korean 237,2.925363059241734, 1
#CON western UMi,2.925363059241734, 9
CON arabic_ancient 0299,2.925363059241734, 2
CON aztec 004,2.925363059241734, 1
CON arabic_al-sufi UMi,2.925363059241734, 1
CON chinese 083,2.925363059241734, 1
CON western Gru,2.9247104352749056, 3
CON korean 061,2.9240593483382638, 1
CON chinese 272,2.9240593483382638, 1
CON western Lep,2.923316323559294, 2
CON western_hlad Lep,2.923316323559294, 1
CON western_rey Lep,2.923316323559294, 2
CON korean 136,2.9215035770450135, 1
CON korean 178,2.921498231050836, 1
CON chinese 268,2.91994654791957, 1
CON western Mon,2.915724497222808, 2
CON korean 119,2.910268991778985, 2
CON arabic_al-sufi Lep,2.909639453159711, 1
CON ruelle Cer,2.908679513366166, 1
CON arabic_al-sufi Crv,2.9060749719742796, 1
CON japanese_moon_stations 09,2.9027964468042877, 1
CON bugis 001,2.9004982218221182, 1
CON western_SnT Cet,2.899532698354168, 1
CON ruelle Cas,2.899289534160406, 1
CON western_rey Sct,2.898016892188581, 2
CON western Nor,2.8974483495577594, 2
CON macedonian 019,2.8970600479730586, 1
CON japanese_moon_stations 15,2.8964403948333457, 1
CON anutan 011,2.8960124596717107, 1
CON korean 129,2.895812672142483, 1
CON ruelle Sgr,2.894532990766697, 1
CON maori 005,2.8940817631997615, 4
CON japanese_moon_stations 19,2.8940817631997615, 1
CON romanian Tau,2.8940817631997615, 2
CON tupi 007,2.8940817631997615, 1
CON belarusian 007,2.8940817631997615, 1
CON korean 247,2.891450888183982, 1
CON ruelle And,2.890488916905903, 1
CON arabic_ancient 4899,2.890406542000782, 1
CON arabic_al-sufi Lup,2.888398029648639, 1
CON korean 026,2.88829277838286, 2
CON western_rey And,2.886600761496679, 1
CON western_rey SerCd,2.885172625605072, 1
CON western_hlad Hor,2.8848191225726625, 1
CON western_SnT Hor,2.8848191225726625, 1
CON arabic_ancient 2004,2.884383299732052, 1
CON mandar 004,2.8835054552974184, 1
CON boorong Nln,2.8832915034319666, 1
CON hawaiian_starlines KAO,2.882455584630763, 1
CON western Leo,2.882455584630763, 2
CON western_hlad Leo,2.882455584630763, 2
CON chinese 001,2.8783061519199467, 1
CON anutan 004,2.8783061519199467, 1
CON hawaiian_starlines KOM,2.8741343720717634, 1
CON inuit 004,2.8741343720717634, 1
CON western_hlad CrA,2.8717701777871207, 1
CON western_rey CrA,2.8717701777871207, 1
CON boorong Won,2.8717701777871207, 1
CON korean 141,2.871492901427735, 1
CON korean 233,2.87006462299284, 1
CON chinese 030,2.8696597650395574, 1
CON western Vir,2.8688803495837045, 2
CON arabic_al-sufi Crt,2.8686272321266135, 1
CON korean 064,2.8673866178485024, 1
CON chinese 090,2.8652950377952866, 1
CON chinese 097,2.8582992144660744, 1
CON western Pup,2.854534266805671, 2
CON chinese 315,2.8543673597130796, 1
CON korean 147,2.8540295340669153, 1
CON korean 170,2.8490521925435472, 1
CON western_hlad Cam,2.8487050981146447, 1
CON western_rey Cam,2.8487050981146447, 1
CON western_SnT Cam,2.8487050981146447, 1
CON korean 262,2.843844049016816, 1
CON western_hlad Ara,2.8380000542542025, 1
CON western_rey Ara,2.8380000542542025, 1
CON western_SnT Ara,2.8380000542542025, 1
CON western_rey Mus,2.8376232450952243, 1
CON western_SnT Mus,2.8376232450952243, 1
CON ruelle Lep,2.83622086557497, 1
CON korean 122,2.833814376918828, 2
CON arabic_ancient 5899,2.833763974539613, 1
CON romanian Prb,2.8335363164701826, 1
CON macedonian 017,2.8333201961825485, 1
CON indian N17,2.832863016936213, 4
CON western_hlad Tel,2.832759855923319, 1
CON korean 089,2.831682394120354, 1
CON western Oph,2.8315188752461604, 2
CON chinese 287,2.8305751792783065, 1
CON chinese 095,2.8294046845042815, 1
CON western_hlad Boo,2.8284359607359124, 1
CON korean 059,2.8267734041137174, 1
CON western_hlad Cen,2.826069246363737, 1
CON western Aur,2.8254488592196156, 4
CON chinese 032,2.8253623796903073, 1
CON korean 142,2.824703107962075, 1
CON western Ari,2.8244864534854823, 4
CON romanian Ber,2.8244864534854823, 1
CON anutan 005,2.8244864534854823, 1
CON korean 189,2.822406369705058, 1
CON chinese 216,2.8196711246105686, 1
CON korean 131,2.818399389935173, 1
CON romanian Tdz,2.8177464914986734, 1
CON western Lyr,2.8148384206359576, 5
CON ruelle CMa,2.8128904677738062, 1
CON western_SnT CMa,2.8128904677738062, 1
CON korean 098,2.812844267404886, 1
CON western_hlad Ind,2.8120529138378862, 1
CON arabic_ancient 2599,2.811110520116711, 1
CON chinese 134,2.809200912838528, 1
CON romanian Csa,2.8076461959582786, 1
CON chinese 290,2.8064869213833594, 1
CON western_SnT Hyi,2.8040577464853818, 1
CON chinese 143,2.8020974866173813, 1
CON arabic_ancient 2703,2.801279167752417, 1
