Constellation, Max Continuation, Same Constellations Accross Cultures 
CON korean 251,1.1915343835194836, 1
CON western_rey Ori,1.196821396133625, 1
CON korean 191,1.1969849691100505, 1
CON western_SnT Oph,1.1971009741933678, 1
CON ruelle Ori,1.197151354511133, 1
CON chinese 275,1.1979376641582504, 1
CON navajo 008,1.1989020743112215, 1
CON western_rey SerCd,1.2053905916894758, 1
CON western_hlad Sgr,1.2087153590840605, 1
CON arabic_al-sufi Arg,1.2156413435575093, 1
CON western Per,1.2210245155046682, 3
CON western_hlad Per,1.2210245155046682, 1
CON lokono 007,1.2242160522808554, 1
CON boorong Ydk,1.2274548016594262, 1
CON boorong Kul,1.2291112590447404, 1
CON western Peg,1.2303720135083216, 2
CON ruelle Peg,1.2303720135083216, 1
CON western_SnT Peg,1.2303720135083216, 1
CON chinese 050,1.2359639130386164, 1
CON arabic_ancient 2699,1.236351024184037, 1
CON chinese 089,1.2365791420188244, 1
CON western_hlad Pyx,1.2421000894467449, 1
CON tukano 002,1.2524488003356598, 1
CON korean 063,1.2524488003356598, 2
CON arabic_ancient 6199,1.2556453790183078, 1
CON western_hlad Gem,1.2571143016583555, 1
CON western_hlad Oct,1.2594523692917796, 1
CON western Aql,1.26018909571544, 2
CON western Lib,1.2617898754593186, 2
CON book-of-the-stars-almagest SFA,1.2630867108005757, 1
CON navajo 005,1.266214581340654, 3
CON korean 085,1.2687325951749098, 1
CON egyptian 010,1.2706108204504898, 1
CON tukano 009,1.2751196147140587, 1
CON boorong Mar,1.2755619183674811, 1
CON arabic_arabian_peninsula 2999,1.2862945587322454, 3
CON western Sco,1.2862945587322454, 3
CON western_hlad Sco,1.2862945587322454, 1
CON arabic_ancient 2811,1.2892650911655474, 1
CON chinese 046,1.2895370611038772, 1
CON western_hlad Lac,1.290722909685357, 1
CON hawaiian_starlines MAN,1.2933949860619265, 1
CON arabic_al-sufi Sco,1.2933949860619265, 1
CON western_SnT Ori,1.2940341025072835, 1
CON western_rey Lup,1.2943271674894103, 1
CON western_hlad Hya,1.2965712820305935, 1
CON chinese 212,1.299046017970972, 1
CON arabic_ancient 1399,1.3026090991918913, 1
CON chinese 265,1.305558820603446, 1
CON ruelle Per,1.3085599098332323, 1
CON korean 232,1.3113510179581085, 1
CON anutan 004,1.3134232235905592, 1
CON western Ara,1.336281959101756, 2
CON western_hlad Oph,1.336371030650087, 1
CON japanese_moon_stations 08,1.3423689761815938, 1
CON western_SnT Eri,1.344070114064785, 1
CON arabic_al-sufi Cas,1.3519066619196687, 1
CON egyptian 002,1.3605753753441268, 1
CON western_SnT Cet,1.3766423480072292, 1
CON romanian Gem,1.3922049887575163, 1
CON western And,1.3984938109727416, 3
CON ruelle And,1.3984938109727416, 1
CON chinese 118,1.4097753499103884, 1
CON western_hlad Aqr,1.4151615061211968, 1
CON arabic_al-sufi Gem,1.4193550746725496, 1
CON tongan 007,1.4216052944285724, 1
CON arabic_al-sufi Lep,1.425208983947134, 1
CON ruelle Cnc,1.4275126684394395, 1
CON egyptian 011,1.4330117084351561, 1
CON romanian Chi,1.4385340665367858, 1
CON arabic_ancient 0299,1.4385793825212163, 2
CON chinese 220,1.4414015751535936, 1
CON arabic_al-sufi SFB,1.4465167940750367, 1
CON arabic_al-sufi PsA,1.4545511147728798, 1
CON western Pup,1.454620467150959, 2
CON chinese 057,1.4593152039195862, 1
CON korean 198,1.4616711987339701, 1
CON blackfoot 003,1.4621064388605483, 1
CON korean 249,1.4621064388605483, 1
CON western_hlad Her,1.4621064388605483, 1
CON lokono 011,1.4621064388605483, 1
CON western Mon,1.4698103933079207, 2
CON western_rey Car,1.471866261894971, 1
CON korean 136,1.4726742242739888, 1
CON korean 090,1.4736137812496921, 1
CON chinese 135,1.4736137812496921, 1
CON western_rey Vel,1.4763311907356749, 1
CON tupi 006,1.477865303747301, 1
CON western PsA,1.4813777420552445, 2
CON tukano 001,1.4820316077913556, 1
CON western_rey Cet,1.4834223168273053, 1
CON western Cet,1.4873845641377117, 2
CON western_hlad Lup,1.487468062379258, 1
CON tukano 003,1.4885096000941735, 1
CON egyptian 014,1.4888961530394655, 1
CON chinese 209,1.5001903502338139, 1
CON chinese 316,1.5142636975212374, 1
CON western Vel,1.538765936867914, 2
CON arabic_arabian_peninsula 2550,1.5390078234491933, 3
CON arabic_ancient 2506,1.5390078234491933, 1
CON tukano 005,1.548607386557666, 1
CON western Del,1.5502286623085144, 4
CON western_hlad Del,1.5517719203262992, 1
CON ruelle Gem,1.5674713118635064, 1
CON aztec 003,1.5674713118635064, 1
CON western Cyg,1.5788129136359523, 3
CON romanian Pma,1.5788129136359523, 1
CON tukano 006,1.580004604463837, 1
CON western_hlad PsA,1.5834477071612016, 1
CON western_hlad Tel,1.5851622198677067, 1
CON western_SnT Cen,1.5916466228142438, 1
CON aztec 002,1.5986891820591085, 1
CON western Lyn,1.604553729129023, 3
CON western_rey Lyn,1.604553729129023, 1
CON ruelle Aqr,1.6046486606777561, 1
CON arabic_ancient 1101,1.607504584909396, 1
CON arabic_ancient 1199,1.607504584909396, 1
CON boorong Otc,1.6116760482970696, 1
CON western_rey Sco,1.6119993382275462, 1
CON western Pav,1.6120488953022276, 3
CON korean 086,1.6122790841555246, 1
CON chinese 136,1.6122790841555246, 1
CON boorong Lnk,1.6162841566779576, 1
CON chinese 315,1.6168412326345203, 1
CON chinese 080,1.6186696935979663, 1
CON ruelle Cen,1.6276673338392849, 1
CON korean 043,1.6280469518895833, 1
CON korean 190,1.6350645809265232, 1
CON western Cen,1.6408619521663939, 2
CON chinese 029,1.6435705539878265, 1
CON ruelle Lyn,1.6440896434666352, 1
CON western_rey Oph,1.6480006940813872, 1
CON navajo 006,1.6536579326202183, 1
CON chinese 232,1.660202053855273, 1
CON chinese 015,1.6662770469264392, 1
CON navajo 004,1.6685517349286867, 1
CON korean 064,1.6768763097468642, 1
CON western_rey Aql,1.6829048336139012, 1
CON bugis 001,1.6833522546327042, 1
CON chinese 049,1.6902079846336784, 1
CON sardinian 001,1.6926557815065268, 1
CON korean 259,1.6932013054387416, 1
CON western Boo,1.6942976694248792, 3
CON korean 062,1.7048463241688854, 1
CON western_SnT Cam,1.7118935796790105, 1
CON korean 111,1.7246376321090426, 1
CON arabic_ancient 5399,1.7280697701134278, 1
CON western Her,1.7298448782477749, 1
CON chinese_contemporary Her,1.7298448782477749, 1
CON romanian Omu,1.7298448782477749, 1
CON hawaiian_starlines NAV,1.732941176682801, 1
CON korean 110,1.7382797783022554, 1
CON korean 238,1.7426032859637832, 1
CON arabic_ancient 4999,1.746421979620514, 1
CON chinese 075,1.7487489438832178, 1
CON western_hlad Tau,1.7538543616748878, 1
CON romanian Tau,1.7538543616748878, 2
CON tupi 002,1.7538543616748878, 1
CON tupi 007,1.7538543616748878, 1
CON siberian Kic,1.7641288365661012, 1
CON macedonian 005,1.774389078351042, 1
CON korean 103,1.7802881203467074, 1
CON korean 144,1.7860517969053031, 1
CON western_SnT Her,1.7954053599856956, 1
CON ruelle Cap,1.7964793805955237, 1
