Constellation, Max Equal Spacing, Same Constellations Accross Cultures 
CON tukano 011,0.13558532446036692, 6
CON blackfoot 001,0.13558532446036692, 1
CON western Boo,0.13561923702934658, 3
CON korean 160,0.13591904108489833, 1
CON chinese 165,0.13637593455295366, 1
CON chinese 262,0.13725561050762142, 1
CON western_SnT Leo,0.1372753723595897, 1
CON macedonian 005,0.1379182085183559, 1
CON western_hlad Cha,0.13806883691685806, 1
CON korean 130,0.1383410688142298, 2
CON chinese 266,0.1383410688142298, 1
CON arabic_ancient 0899,0.1390207403803031, 1
CON romanian Ccp,0.13942506348511918, 1
CON chinese 062,0.140796279776373, 1
CON western Sge,0.1425798439056395, 2
CON western_hlad Ori,0.1431298467675577, 1
CON sardinian 004,0.1431298467675577, 2
CON ruelle Lup,0.14315317758814056, 1
CON korean 151,0.1432078326269775, 2
CON ruelle Ara,0.14333093068227326, 1
CON chinese 029,0.14361577678736448, 1
CON chinese 053,0.14416476150314483, 1
CON anutan 001,0.14475418841774534, 1
CON romanian Cat,0.14524750303750883, 1
CON western_rey Cas,0.1468188526659741, 1
CON chinese 212,0.14777605585931314, 1
CON japanese_moon_stations 19,0.14845342274987616, 1
CON western Pic,0.1484747644193134, 4
CON arabic_ancient 4599,0.14869976930318096, 1
CON korean 053,0.14875371443558527, 1
CON korean 154,0.14880017331147943, 2
CON korean 213,0.14925483288318886, 1
CON western_SnT Lup,0.14983518547643776, 1
CON sami 002,0.15011846500701914, 1
CON korean 201,0.15156554106390063, 2
CON korean 178,0.15206030188132313, 1
CON western Ind,0.15232231958923342, 2
CON ruelle Sct,0.15243696132487178, 1
CON western_hlad Car,0.15251352210492558, 1
CON romanian Prb,0.15276435559981782, 1
CON korean 179,0.15280918581485659, 1
CON korean 098,0.15351573889291048, 1
CON western_rey Ari,0.1536800874586372, 1
CON chinese 277,0.15376968344818626, 1
CON korean 046,0.1540095169705426, 2
CON korean 260,0.15445776009675016, 1
CON anutan 009,0.15459676524507232, 1
CON mandar 004,0.15463796152426418, 1
CON chinese 032,0.15463796152426418, 1
CON korean 262,0.15498306818215313, 1
CON ruelle Mon,0.1551769826918623, 1
#CON macedonian 001,0.15552901026260768, 11
CON korean 122,0.15577691776365643, 2
CON western_hlad Gru,0.15594771670614155, 1
CON western_SnT Gru,0.15594771670614155, 1
CON western_hlad Lep,0.15637998360094185, 1
CON western_SnT Vir,0.15655583405891926, 1
CON arabic_ancient 1901,0.1565608353558552, 2
CON korean 186,0.15669083389292082, 1
CON western_SnT Ind,0.1576142553942888, 1
CON chinese 111,0.1591541597748221, 1
CON chinese 081,0.15935080582911787, 1
CON anutan 010,0.15986985805445086, 1
CON korean 140,0.15998732337919447, 1
CON western_hlad Tel,0.16004026415426664, 1
CON arabic_ancient 2004,0.16068971150508848, 1
CON chinese 228,0.16078639795160998, 1
CON western_SnT Scl,0.16124751564587964, 1
CON chinese 127,0.16164650850536277, 1
CON western_SnT Sgr,0.1622279399678725, 1
CON korean 119,0.16242191682352541, 2
CON chinese 182,0.1624584318932875, 1
CON western_hlad Cet,0.16299817345044842, 1
CON ruelle Cet,0.16299817345044842, 1
CON korean 249,0.1630588043508801, 1
CON western_hlad Her,0.1630588043508801, 1
CON western_rey SerCd,0.1641036767479087, 1
CON korean 077,0.1645882685365455, 1
#CON indian N13,0.16460492330528442, 2
CON hawaiian_starlines MEE,0.16460492330528442, 4
CON korean 192,0.16460492330528442, 3
CON korean 108,0.16510438887502538, 1
#CON western UMi,0.16521110032821246, 9
CON arabic_al-sufi UMi,0.16521110032821246, 1
CON korean 272,0.16552923057948304, 1
CON korean 182,0.1658470281829798, 1
CON chinese 015,0.166023107919461, 1
CON western_hlad UMa,0.1664280734879835, 1
CON boorong Otc,0.16673311050751866, 1
CON chinese 050,0.16693595422722907, 1
CON arabic_ancient 3003,0.1673582091686247, 3
CON romanian Arc,0.1673582091686247, 1
CON korean 271,0.1679118232982173, 1
CON western_hlad Ser,0.16824646892719053, 1
CON western_SnT CMa,0.16827626704901488, 1
CON korean 116,0.16848760033104343, 1
CON korean 090,0.16956768119362692, 1
CON arabic_al-sufi Lib,0.1696277737138739, 1
CON chinese 272,0.1696559015632808, 1
CON egyptian 012,0.17180950118202248, 1
CON korean 215,0.17199701842156717, 1
CON chinese 075,0.17225938655949574, 1
CON western UMa,0.17257892064759534, 3
CON japanese_moon_stations 18,0.17293200542132686, 1
CON chinese 307,0.17328534644801297, 1
CON korean 228,0.17357080564744776, 1
CON western Lyn,0.17401012332085614, 3
CON ruelle Cyg,0.17428557080903018, 1
CON chinese 067,0.17436948908257732, 1
CON hawaiian_starlines NAV,0.1746041145916576, 1
CON japanese_moon_stations 27,0.17461267171065653, 1
CON western_SnT Vol,0.17492750723779193, 1
CON boorong Won,0.17551604274608928, 1
CON korean 209,0.17588509381026401, 1
CON arabic_ancient 3002,0.1763389516672415, 2
CON western_hlad Lup,0.17634529407575633, 1
CON chinese 095,0.17638811301321794, 1
CON korean 258,0.17662850208984054, 1
CON korean 189,0.1769927265827973, 1
CON macedonian 011,0.17742874965637995, 1
CON western_hlad Peg,0.17748314300122242, 1
CON romanian Vir,0.17768925885132114, 1
CON korean 247,0.17807002593626325, 1
CON western_hlad Phe,0.17819929277666208, 1
CON western_SnT Ara,0.1789848317447943, 1
CON chinese 148,0.17909230667944248, 1
CON egyptian 021,0.17919115774955657, 1
CON western_hlad Vel,0.1800499039020097, 2
CON korean 048,0.18049923343694863, 1
CON korean 261,0.181245409401379, 1
CON korean 175,0.18171441471058625, 1
CON ruelle Phe,0.18200263940177186, 1
CON western_SnT Phe,0.18200263940177186, 1
CON chinese 220,0.18212699759251, 1
CON anutan 011,0.1823225434527277, 1
CON korean 208,0.182601233227219, 2
CON western_rey Ara,0.1830527085340275, 1
CON chinese 097,0.18465446809790775, 1
CON romanian Rac,0.1876775572842711, 2
CON western_hlad Cnc,0.18780654714802164, 1
CON korean 191,0.1879994737763087, 1
CON sardinian 007,0.18805843986262866, 1
CON chinese 278,0.18805843986262866, 1
CON western Lyr,0.18899371103618468, 5
CON western_SnT Lyr,0.18899371103618468, 1
CON korean 235,0.18931101318697985, 1
CON korean 008,0.18964682375852138, 2
CON arabic_ancient 2005,0.18977208913286214, 1
CON ruelle PsA,0.18992825782487127, 1
CON western_hlad Per,0.18995418988665336, 1
CON ruelle Gru,0.1902417222349717, 1
CON arabic_arabian_peninsula 3499,0.19088464585128623, 3
CON western Ori,0.19215999568771114, 2
CON korean 099,0.19229266770969838, 1
CON western_rey Cet,0.19232588477974943, 1
CON chinese 244,0.19268192367200665, 1
CON ruelle Ser,0.1933178154536247, 1
CON hawaiian_starlines IWI,0.19415429824607944, 1
CON ruelle Per,0.1941719579943018, 1
CON korean 246,0.19427607685760195, 1
CON western_rey Dra,0.19427607685760195, 2
CON ruelle Cam,0.19429094342273323, 1
CON western_SnT Cyg,0.19449233962403933, 1
CON western_rey Lac,0.19683472004732827, 2
CON korean 113,0.19717814019114405, 1
CON chinese 246,0.19752538833127103, 1
CON arabic_ancient 1099,0.1975281100915462, 1
CON macedonian 014,0.19836495174968455, 1
CON arabic_al-sufi Sge,0.19932058628934807, 1
CON western_SnT Hyi,0.19934161417298202, 1
CON mandar 005,0.19946410893504907, 1
CON chinese 098,0.19993339678255, 1
CON korean 229,0.2000021136321975, 2
CON arabic_ancient 1902,0.20020876415668043, 2
CON korean 041,0.20071973501055435, 1
CON ruelle Cnc,0.20108121429041453, 1
CON ruelle Ori,0.20117060817974308, 1
CON arabic_arabian_peninsula 4299,0.20191696359867828, 1
CON arabic_al-sufi Ari,0.2030168973296611, 1
CON korean 074,0.20361734712725982, 1
CON arabic_ancient 4699,0.20367640641046986, 1
CON western PsA,0.20394796798987957, 2
CON arabic_ancient 4499,0.20499135436432375, 1
CON ruelle Lep,0.20499135436432375, 1
CON western Dor,0.20566073649381633, 2
CON korean 089,0.20597391303662832, 1
CON boorong Unu,0.20715848083994942, 1
CON arabic_ancient 6299,0.20835930914948858, 1
CON chinese 086,0.20942958493000857, 1
CON western Cap,0.20946646854366135, 3
CON arabic_ancient 5899,0.20969641677328832, 1
CON chinese 031,0.2099266885235287, 1
CON anutan 007,0.21029915220412676, 1
CON tukano 006,0.2103296490915288, 1
CON ruelle Pav,0.2104924490198875, 1
CON western_hlad Mic,0.21079371882561065, 1
CON indian N09,0.21222773063190392, 1
CON korean 183,0.21222773063190392, 1
CON chinese 270,0.21249518341680473, 1
CON chinese 142,0.21285274323308034, 1
CON western_rey Lyn,0.21319534139357244, 1
CON western_rey Aps,0.21325065901056567, 1
CON chinese 241,0.2138281358306418, 1
CON western_hlad Vul,0.21387368811616725, 1
CON arabic_arabian_peninsula 3099,0.21392425145692312, 3
CON arabic_ancient 3001,0.21392425145692312, 3
CON western_rey Sgr,0.21392425145692312, 1
CON ruelle CMa,0.21406845430748273, 1
CON korean 138,0.2151364816956478, 1
CON arabic_ancient 4204,0.2151364816956478, 1
CON arabic_ancient 4299,0.2151364816956478, 2
CON chinese 046,0.2151364816956478, 1
CON korean 120,0.21543728152021718, 1
CON western_hlad Boo,0.2154627755376054, 1
CON boorong Mar,0.2154627755376054, 1
CON western_hlad Aqr,0.21566643756373616, 1
CON western Cam,0.21568575227233955, 2
CON ruelle Cen,0.215700760371291, 1
CON romanian Hra,0.21576731890944667, 1
CON egyptian 028,0.21606067450612143, 1
CON western Pyx,0.21695466727790275, 2
CON arabic_ancient 5499,0.2174105964267371, 1
CON tukano 008,0.2175070923333094, 1
CON chinese 287,0.21774796383497624, 1
CON romanian Sec,0.21866942238155995, 1
CON western_hlad Cen,0.21885195183467776, 1
CON korean 109,0.21906735192719978, 4
CON anutan 006,0.2194083394496758, 1
CON chinese 157,0.22060132959625461, 1
CON korean 054,0.22186853809017698, 1
CON western Pav,0.22269324235422394, 3
CON korean 162,0.2229663456545547, 1
CON chinese 191,0.2229663456545547, 1
CON chinese 049,0.22390039909511572, 1
CON western_rey Col,0.2241879547715035, 1
CON chinese 022,0.22423951024839278, 1
CON western_hlad Vol,0.22427881208560535, 1
CON western_hlad Pav,0.22476738575015287, 1
CON western_SnT Pav,0.22476738575015287, 1
CON western Ari,0.22533056030859494, 4
CON romanian Ber,0.22533056030859494, 1
CON anutan 005,0.22533056030859494, 1
CON korean 110,0.22538847364657322, 1
CON western Oph,0.2257937846927779, 2
CON western_SnT Sex,0.2259561264164487, 1
CON arabic_al-sufi Aur,0.22608728677755602, 1
CON macedonian 002,0.22745775365297927, 1
CON belarusian 003,0.22745775365297927, 1
CON korean 146,0.2275831771227747, 1
CON arabic_ancient 4999,0.22776103045696244, 1
CON western_rey Pic,0.22779579797613503, 1
CON korean 232,0.22850711772361554, 1
CON chinese 012,0.22856644285132166, 1
CON arabic_ancient 2299,0.22868627734684965, 1
CON chinese 073,0.2291635911092399, 1
CON western_SnT Cen,0.22950646161899824, 1
CON western Vir,0.23010638106265735, 2
CON western_rey Vir,0.23010638106265735, 1
CON boorong Wjl,0.23147444710929638, 1
CON tukano 004,0.23180402057220528, 1
CON western Col,0.23186876952490632, 2
CON chinese 295,0.23218307213971967, 1
CON aztec 002,0.23249860236671416, 1
CON arabic_al-sufi SFB,0.23384854930538757, 1
CON western_rey TrA,0.23456548408219446, 2
CON navajo 002,0.23527045948404995, 1
CON arabic_ancient 0499,0.23547636417023127, 1
CON korean 251,0.2359547271439788, 1
CON chinese 315,0.23660167496197293, 1
CON western Cyg,0.23704498942868935, 3
CON western_hlad Cyg,0.23704498942868935, 1
CON western_SnT Mus,0.2372857293114241, 1
CON chinese 216,0.23741263375926913, 1
CON western_hlad Lac,0.23775611353141435, 1
CON western_SnT Ori,0.2388555320960401, 1
CON chinese 171,0.23888731862915624, 1
CON ruelle Crv,0.23908497098173043, 2
CON korean 112,0.23923716878207363, 1
CON chinese 210,0.23923716878207363, 1
CON western_SnT Cet,0.23923716878207363, 1
CON northern_andes 005,0.23988875356643702, 1
CON inuit 010,0.23988875356643702, 1
CON korean 141,0.24073141125063258, 1
CON western Tau,0.24073141125063258, 2
CON sardinian 001,0.24073141125063258, 1
CON belarusian 007,0.24073141125063258, 1
CON egyptian 014,0.24120886236835953, 1
CON romanian Chi,0.24152704778776418, 1
CON chinese 102,0.24224370421957014, 1
CON tongan 008,0.24227395943199354, 1
CON ruelle Gem,0.2426855482941872, 1
CON romanian Gem,0.2426855482941872, 1
CON chinese 001,0.24346653139127422, 1
CON anutan 004,0.24346653139127422, 1
CON korean 011,0.24351289037347545, 1
CON korean 066,0.24391764370780517, 1
CON chinese_contemporary CMa,0.2445798954870183, 1
CON western_hlad CMa,0.2445798954870183, 1
CON western_rey CMa,0.2445798954870183, 1
CON chinese 094,0.2446187105710229, 1
CON boorong Cwr,0.24478245480392208, 1
CON western_hlad CrA,0.24513424817718693, 1
CON western Gem,0.24535509634091007, 4
CON western_hlad Gem,0.24535509634091007, 1
CON arabic_al-sufi Gem,0.24535509634091007, 1
CON western_hlad PsA,0.24749206954875758, 1
CON chinese 080,0.247875916110121, 1
CON hawaiian_starlines MAN,0.24794096748405858, 1
CON western Sco,0.24794096748405858, 3
CON western_hlad Sco,0.24794096748405858, 1
CON mandar 003,0.24794096748405858, 1
CON bugis 003,0.24794096748405858, 1
CON western_rey Cha,0.24813903503871354, 1
CON western_SnT Cha,0.24813903503871354, 1
CON western Crt,0.24815249173060033, 3
CON ruelle Crt,0.24815249173060033, 1
CON arabic_al-sufi Crt,0.24815249173060033, 1
CON boorong Cwp,0.24866242206255268, 1
CON chinese 296,0.25002201692056975, 1
CON western Sgr,0.2502265828383195, 2
CON chinese 064,0.2504120704682882, 1
CON siberian Kic,0.2507959961910664, 1
CON arabic_arabian_peninsula 3199,0.2508433858629415, 3
CON korean 143,0.25130723095599294, 1
CON chinese 090,0.25197638539768574, 1
CON ruelle Boo,0.2526175220240088, 1
CON korean 238,0.25293099346551046, 1
CON macedonian 015,0.25333053889071877, 1
CON ruelle Lyr,0.25333053889071877, 1
CON arabic_ancient 4899,0.2535996457942683, 1
CON tukano 002,0.2542044498153385, 1
CON arabic_al-sufi Del,0.2542044498153385, 1
CON chinese 017,0.25447679062815176, 1
CON ruelle Col,0.2549075704573998, 1
CON western_hlad Dor,0.2550902287388691, 1
CON chinese 113,0.2550902287388691, 1
CON korean 094,0.2554723233158962, 1
CON western_rey Lep,0.255526932306361, 2
CON ruelle Sge,0.2558940334167019, 1
CON korean 236,0.25615112574599463, 2
CON arabic_ancient 0299,0.25615112574599463, 2
CON western_SnT Ser,0.2570383531954119, 1
CON chinese 091,0.25776013409194587, 1
CON korean 111,0.25918912743297, 1
CON western_hlad Aur,0.25919499739956064, 1
CON chinese 135,0.2593413660891464, 1
CON lokono 003,0.2595592660848156, 1
CON chinese 134,0.25976519025228406, 1
CON tukano 009,0.2597666947695678, 1
CON sami 001,0.2598517058398737, 1
CON arabic_ancient 2811,0.2598632123894365, 1
CON chinese 263,0.26041289877990115, 1
CON egyptian 006,0.26085843039391066, 1
CON western Oct,0.2617290218277678, 4
CON western Hor,0.2641803829539887, 2
CON lokono 007,0.26481651300786624, 1
CON western_rey CrA,0.2650271162504485, 1
CON chinese 316,0.26553259954481934, 1
CON western_hlad Scl,0.2656098763355076, 1
CON korean 248,0.265882199347746, 1
CON western_SnT Boo,0.2663381685924426, 1
CON chinese 128,0.2667151533574377, 1
CON korean 043,0.2669496348144641, 1
CON boorong Kul,0.2687550509740675, 1
CON ruelle Cer,0.2689239405670825, 1
CON romanian Sco,0.26903394475548015, 1
CON western Phe,0.26935494314722896, 2
CON western_rey Phe,0.26935494314722896, 1
CON chinese 013,0.26954195348129234, 1
CON korean 027,0.26968220383940367, 1
CON korean 185,0.27081223759216433, 1
CON chinese 103,0.27149975011705973, 1
CON western Tri,0.27276633790902227, 6
CON japanese_moon_stations 25,0.27278831542474125, 1
CON chinese 027,0.27278831542474125, 1
CON ruelle Dra,0.2729693745401526, 1
CON hawaiian_starlines KAO,0.27310999246804935, 1
CON western Leo,0.27310999246804935, 2
CON western_hlad Leo,0.27310999246804935, 2
